,year,subjects,count,total,percentage
0,1779,American Revolution,2,49,4.0
1,1779,European Alliances,1,49,2.0
2,1779,Health and Illness,2,49,4.0
3,1779,Privateering,2,49,4.0
4,1779,Recreation,8,49,16.0
5,1779,Religion,2,49,4.0
6,1779,"Travel and Touring, International",32,49,65.0
7,1780,American Revolution,1,53,2.0
8,1780,Recreation,9,53,17.0
9,1780,Religion,10,53,19.0
10,1780,"Travel and Touring, International",33,53,62.0
11,1781,American Revolution,3,37,8.0
12,1781,Recreation,3,37,8.0
13,1781,Religion,6,37,16.0
14,1781,"Travel and Touring, International",25,37,68.0
15,1782,American Revolution,1,70,1.0
16,1782,Health and Illness,6,70,9.0
17,1782,Recreation,33,70,47.0
18,1782,Religion,4,70,6.0
19,1782,"Travel and Touring, International",26,70,37.0
20,1783,Anglo-American Definitive Peace Treaty,2,124,2.0
21,1783,Commerce,1,124,1.0
22,1783,Health and Illness,1,124,1.0
23,1783,Recreation,44,124,35.0
24,1783,Religion,1,124,1.0
25,1783,Science and Technology,3,124,2.0
26,1783,"Travel and Touring, International",72,124,57.99999999999999
27,1784,Recreation,3,9,33.0
28,1784,"Travel and Touring, International",6,9,67.0
29,1785,African Americans,1,123,1.0
30,1785,American Revolution,3,123,2.0
31,1785,Barbary Wars,1,123,1.0
32,1785,Continental Congress,2,123,2.0
33,1785,Family Relations (Adams Family),6,123,5.0
34,1785,Family Residences (Adams Family),2,123,2.0
35,1785,Health and Illness,12,123,10.0
36,1785,Loyalists,1,123,1.0
37,1785,Recreation,34,123,28.000000000000004
38,1785,Religion,26,123,21.0
39,1785,Slavery and Enslaved Persons,1,123,1.0
40,1785,"Travel and Touring, International",34,123,28.000000000000004
41,1786,American Revolution,3,119,3.0
42,1786,Dueling,1,119,1.0
43,1786,Family Relations (Adams Family),2,119,2.0
44,1786,Health and Illness,10,119,8.0
45,1786,Native Americans,1,119,1.0
46,1786,Recreation,29,119,24.0
47,1786,Religion,56,119,47.0
48,1786,Shays's Rebellion,17,119,14.000000000000002
49,1787,African Americans,1,111,1.0
50,1787,Family Relations (Adams Family),1,111,1.0
51,1787,Health and Illness,8,111,7.000000000000001
52,1787,Loyalists,1,111,1.0
53,1787,Recreation,38,111,34.0
54,1787,Religion,44,111,40.0
55,1787,Shays's Rebellion,9,111,8.0
56,1787,US Constitution,9,111,8.0
57,1788,American Revolution,2,135,1.0
58,1788,Anti-Federalists,9,135,7.000000000000001
59,1788,Health and Illness,19,135,14.000000000000002
60,1788,Loyalists,1,135,1.0
61,1788,Recreation,47,135,35.0
62,1788,Religion,43,135,32.0
63,1788,Shays's Rebellion,2,135,1.0
64,1788,US Constitution,12,135,9.0
65,1789,Health and Illness,2,21,10.0
66,1789,Recreation,18,21,86.0
67,1789,Slave Trade,1,21,5.0
68,1790,Recreation,12,12,100.0
69,1791,Bank of the United States,3,25,12.0
70,1791,Health and Illness,7,25,28.000000000000004
71,1791,Recreation,15,25,60.0
72,1792,Health and Illness,8,34,24.0
73,1792,Recreation,26,34,76.0
74,1793,French Revolution,1,17,6.0
75,1793,Haitian Revolution,1,17,6.0
76,1793,Health and Illness,1,17,6.0
77,1793,Native Americans,1,17,6.0
78,1793,Recreation,13,17,76.0
79,1794,African Americans,2,102,2.0
80,1794,Barbary Wars,1,102,1.0
81,1794,French Revolution,3,102,3.0
82,1794,Health and Illness,1,102,1.0
83,1794,Jay Treaty,2,102,2.0
84,1794,Native Americans,1,102,1.0
85,1794,Recreation,59,102,57.99999999999999
86,1794,"Travel and Touring, International",33,102,32.0
87,1795,American Revolution,2,237,1.0
88,1795,Federalist Party,1,237,0.0
89,1795,French Revolution,9,237,4.0
90,1795,Health and Illness,5,237,2.0
91,1795,Jay Treaty,9,237,4.0
92,1795,Native Americans,2,237,1.0
93,1795,Pinckney's Treaty,1,237,0.0
94,1795,Recreation,204,237,86.0
95,1795,Slavery and Enslaved Persons,1,237,0.0
96,1795,Women's Rights,3,237,1.0
97,1796,American Revolution,1,276,0.0
98,1796,Barbary Wars,1,276,0.0
99,1796,Courtship and Marriage of JQA and LCA,16,276,6.0
100,1796,Dueling,1,276,0.0
101,1796,French Revolution,2,276,1.0
102,1796,Health and Illness,5,276,2.0
103,1796,Jay Treaty,2,276,1.0
104,1796,Recreation,247,276,89.0
105,1796,"Travel and Touring, International",1,276,0.0
106,1797,American Revolution,1,257,0.0
107,1797,Commerce,2,257,1.0
108,1797,"Court Life and Society, European",13,257,5.0
109,1797,Courtship and Marriage of JQA and LCA,7,257,3.0
110,1797,Diplomacy,5,257,2.0
111,1797,"Elections, Presidential 1796",1,257,0.0
112,1797,Family Residences (Adams Family),4,257,2.0
113,1797,French Revolution,1,257,0.0
114,1797,Health and Illness,20,257,8.0
115,1797,Industrialization,1,257,0.0
116,1797,Recreation,183,257,71.0
117,1797,Religion,1,257,0.0
118,1797,Steam Power,1,257,0.0
119,1797,Territorial Expansion,1,257,0.0
120,1797,"Travel and Touring, International",16,257,6.0
121,1798,Commerce,1,282,0.0
122,1798,"Court Life and Society, European",47,282,17.0
123,1798,Diplomacy,11,282,4.0
124,1798,Family Residences (Adams Family),4,282,1.0
125,1798,Foreign Relations,8,282,3.0
126,1798,Health and Illness,26,282,9.0
127,1798,Quasi-War,3,282,1.0
128,1798,Recreation,180,282,64.0
129,1798,"Travel and Touring, International",1,282,0.0
130,1798,XYZ Affair,1,282,0.0
131,1799,American Revolution,1,296,0.0
132,1799,"Court Life and Society, European",32,296,11.0
133,1799,Diplomacy,22,296,7.000000000000001
134,1799,Health and Illness,24,296,8.0
135,1799,Prussian-American Treaty of Amity and Commerce,23,296,8.0
136,1799,Recreation,166,296,56.00000000000001
137,1799,Religion,2,296,1.0
138,1799,"Travel and Touring, International",26,296,9.0
139,1800,American Revolution,1,251,0.0
140,1800,Convention of 1800,2,251,1.0
141,1800,"Court Life and Society, European",17,251,7.000000000000001
142,1800,Diplomacy,5,251,2.0
143,1800,Family Residences (Adams Family),1,251,0.0
144,1800,Health and Illness,45,251,18.0
145,1800,Recreation,102,251,41.0
146,1800,Textile Industry,4,251,2.0
147,1800,"Travel and Touring, International",74,251,28.999999999999996
148,1801,American Revolution,1,243,0.0
149,1801,"Court Life and Society, European",11,243,5.0
150,1801,Diplomacy,6,243,2.0
151,1801,"Elections, Presidential 1800",2,243,1.0
152,1801,Family Finances (Adams Family),10,243,4.0
153,1801,Family Relations (Adams Family),1,243,0.0
154,1801,Family Residences (Adams Family),3,243,1.0
155,1801,French Revolution,1,243,0.0
156,1801,Health and Illness,46,243,19.0
157,1801,Recreation,93,243,38.0
158,1801,Religion,5,243,2.0
159,1801,"Travel and Touring, International",64,243,26.0
160,1802,Bank of the United States,1,67,1.0
161,1802,Family Finances (Adams Family),8,67,12.0
162,1802,Family Residences (Adams Family),1,67,1.0
163,1802,Federalist Party,1,67,1.0
164,1802,Health and Illness,17,67,25.0
165,1802,Recreation,38,67,56.99999999999999
166,1802,Slave Trade,1,67,1.0
167,1803,Democratic-Republican Party,3,171,2.0
168,1803,Family Finances (Adams Family),21,171,12.0
169,1803,Family Relations (Adams Family),1,171,1.0
170,1803,Family Residences (Adams Family),2,171,1.0
171,1803,Federalist Party,4,171,2.0
172,1803,Health and Illness,20,171,12.0
173,1803,Jay Treaty,1,171,1.0
174,1803,Louisiana Purchase,15,171,9.0
175,1803,Native Americans,3,171,2.0
176,1803,Recreation,54,171,32.0
177,1803,Religion,20,171,12.0
178,1803,Science and Technology,6,171,4.0
179,1803,Supreme Court,1,171,1.0
180,1803,US Constitution,20,171,12.0
181,1804,Democratic-Republican Party,3,101,3.0
182,1804,Dueling,2,101,2.0
183,1804,Family Finances (Adams Family),1,101,1.0
184,1804,Federalist Party,1,101,1.0
185,1804,French Revolution,1,101,1.0
186,1804,Health and Illness,7,101,7.000000000000001
187,1804,Impressment,2,101,2.0
188,1804,Louisiana Purchase,1,101,1.0
189,1804,Native Americans,2,101,2.0
190,1804,Recreation,33,101,33.0
191,1804,Religion,13,101,13.0
192,1804,Slave Trade,7,101,7.000000000000001
193,1804,Supreme Court,18,101,18.0
194,1804,US Constitution,10,101,10.0
195,1805,American Revolution,1,87,1.0
196,1805,Articles of Confederation,1,87,1.0
197,1805,Boylston Professor of Rhetoric and Oratory,1,87,1.0
198,1805,Democratic-Republican Party,3,87,3.0
199,1805,Dueling,1,87,1.0
200,1805,Family Finances (Adams Family),2,87,2.0
201,1805,Family Relations (Adams Family),2,87,2.0
202,1805,Family Residences (Adams Family),5,87,6.0
203,1805,Federalist Party,1,87,1.0
204,1805,Health and Illness,16,87,18.0
205,1805,Internal Improvements,3,87,3.0
206,1805,Jay Treaty,1,87,1.0
207,1805,Native Americans,13,87,15.0
208,1805,Recreation,21,87,24.0
209,1805,Religion,6,87,7.000000000000001
210,1805,Slave Trade,2,87,2.0
211,1805,US Constitution,8,87,9.0
212,1806,African Americans,1,85,1.0
213,1806,Boylston Professor of Rhetoric and Oratory,27,85,32.0
214,1806,Democratic-Republican Party,4,85,5.0
215,1806,Dueling,1,85,1.0
216,1806,Family Residences (Adams Family),4,85,5.0
217,1806,Federalist Party,2,85,2.0
218,1806,Health and Illness,17,85,20.0
219,1806,Louisiana Purchase,1,85,1.0
220,1806,Napoleonic Wars,2,85,2.0
221,1806,Native Americans,5,85,6.0
222,1806,Recreation,14,85,16.0
223,1806,Reform Movements,1,85,1.0
224,1806,Religion,1,85,1.0
225,1806,Slave Trade,1,85,1.0
226,1806,Supreme Court,3,85,4.0
227,1806,US Constitution,1,85,1.0
228,1807,African Americans,1,119,1.0
229,1807,Boylston Professor of Rhetoric and Oratory,17,119,14.000000000000002
230,1807,Chesapeake Affair,4,119,3.0
231,1807,Continental System,2,119,2.0
232,1807,"Elections, Presidential 1808",3,119,3.0
233,1807,Embargo,8,119,7.000000000000001
234,1807,Family Finances (Adams Family),8,119,7.000000000000001
235,1807,Family Relations (Adams Family),3,119,3.0
236,1807,Family Residences (Adams Family),5,119,4.0
237,1807,Federalist Party,2,119,2.0
238,1807,Health and Illness,25,119,21.0
239,1807,Impressment,3,119,3.0
240,1807,Internal Improvements,1,119,1.0
241,1807,Jay Treaty,1,119,1.0
242,1807,Native Americans,1,119,1.0
243,1807,Recreation,21,119,18.0
244,1807,Religion,4,119,3.0
245,1807,Slave Trade,3,119,3.0
246,1807,Supreme Court,4,119,3.0
247,1807,US Constitution,3,119,3.0
248,1808,American Revolution,1,153,1.0
249,1808,Boylston Professor of Rhetoric and Oratory,24,153,16.0
250,1808,Caucus System,2,153,1.0
251,1808,Chesapeake Affair,1,153,1.0
252,1808,Democratic-Republican Party,8,153,5.0
253,1808,Diplomacy,2,153,1.0
254,1808,Dueling,2,153,1.0
255,1808,"Elections, Presidential 1808",12,153,8.0
256,1808,Embargo,23,153,15.0
257,1808,Essex Junto,1,153,1.0
258,1808,Family Residences (Adams Family),1,153,1.0
259,1808,Federalist Party,9,153,6.0
260,1808,Foreign Relations,3,153,2.0
261,1808,Health and Illness,24,153,16.0
262,1808,Impressment,2,153,1.0
263,1808,Native Americans,9,153,6.0
264,1808,Orders in Council,2,153,1.0
265,1808,Press,1,153,1.0
266,1808,Recreation,14,153,9.0
267,1808,Religion,1,153,1.0
268,1808,Supreme Court,9,153,6.0
269,1808,US Constitution,2,153,1.0
270,1809,African Americans,4,242,2.0
271,1809,American Revolution,3,242,1.0
272,1809,Bank of the United States,1,242,0.0
273,1809,Blockades,4,242,2.0
274,1809,Boylston Professor of Rhetoric and Oratory,17,242,7.000000000000001
275,1809,Commerce,2,242,1.0
276,1809,"Court Life and Society, European",16,242,7.000000000000001
277,1809,Diplomacy,3,242,1.0
278,1809,Dueling,2,242,1.0
279,1809,"Elections, Presidential 1808",1,242,0.0
280,1809,Embargo,3,242,1.0
281,1809,Family Finances (Adams Family),1,242,0.0
282,1809,Family Residences (Adams Family),8,242,3.0
283,1809,Federalist Party,1,242,0.0
284,1809,French Revolution,1,242,0.0
285,1809,Health and Illness,12,242,5.0
286,1809,Impressment,1,242,0.0
287,1809,Orders in Council,2,242,1.0
288,1809,Recreation,49,242,20.0
289,1809,Religion,1,242,0.0
290,1809,Supreme Court,29,242,12.0
291,1809,"Travel and Touring, International",81,242,33.0
292,1810,African Americans,4,256,2.0
293,1810,American Revolution,2,256,1.0
294,1810,Blockades,5,256,2.0
295,1810,Commerce,19,256,7.000000000000001
296,1810,Continental System,3,256,1.0
297,1810,"Court Life and Society, European",27,256,11.0
298,1810,Diplomacy,19,256,7.000000000000001
299,1810,Embargo,2,256,1.0
300,1810,European Alliances,1,256,0.0
301,1810,Family Finances (Adams Family),1,256,0.0
302,1810,Family Residences (Adams Family),10,256,4.0
303,1810,Foreign Relations,1,256,0.0
304,1810,French Revolution,2,256,1.0
305,1810,Health and Illness,26,256,10.0
306,1810,Industrialization,1,256,0.0
307,1810,Jay Treaty,1,256,0.0
308,1810,Latin American Wars of Independence,1,256,0.0
309,1810,Native Americans,2,256,1.0
310,1810,Privateering,5,256,2.0
311,1810,Recreation,108,256,42.0
312,1810,Religion,14,256,5.0
313,1810,Textile Industry,1,256,0.0
314,1810,US Constitution,1,256,0.0
315,1811,African Americans,8,193,4.0
316,1811,American Revolution,1,193,1.0
317,1811,Boylston Professor of Rhetoric and Oratory,1,193,1.0
318,1811,Commerce,17,193,9.0
319,1811,Continental System,4,193,2.0
320,1811,"Court Life and Society, European",22,193,11.0
321,1811,Diplomacy,5,193,3.0
322,1811,Dueling,1,193,1.0
323,1811,Embargo,1,193,1.0
324,1811,Family Residences (Adams Family),12,193,6.0
325,1811,Federalist Party,1,193,1.0
