,year,subjects,count,total,percentage
0,1794,Education,1,1,100.0
1,1795,Education,1,1,100.0
2,1799,Patronage,1,1,100.0
3,1801,Foreign Relations,1,2,50.0
4,1801,Patronage,1,2,50.0
5,1802,Private Practice,1,1,100.0
6,1809,Private Practice,1,1,100.0
7,1810,Family Relations (Taney Family),1,4,25.0
8,1810,Health and Illness,1,4,25.0
9,1810,Religion,1,4,25.0
10,1810,"Travel and Touring, US",1,4,25.0
11,1811,Private Practice,2,2,100.0
12,1812,Private Practice,1,1,100.0
13,1813,Internal Improvements,1,6,17.0
14,1813,Maryland Judiciary,1,6,17.0
15,1813,Maryland Legislature,1,6,17.0
16,1813,Private Practice,3,6,50.0
17,1814,Maryland Judiciary,2,7,28.999999999999996
18,1814,Patronage,1,7,14.000000000000002
19,1814,Postal Service,1,7,14.000000000000002
20,1814,Private Practice,2,7,28.999999999999996
21,1814,War of 1812,1,7,14.000000000000002
22,1816,Postal Service,1,3,33.0
23,1816,Private Practice,2,3,67.0
24,1817,Internal Improvements,1,6,17.0
25,1817,Maryland Judiciary,1,6,17.0
26,1817,Maryland Legislature,1,6,17.0
27,1817,Private Practice,2,6,33.0
28,1817,"Travel and Touring, US",1,6,17.0
29,1818,Currency,1,9,11.0
30,1818,Economic Theory,1,9,11.0
31,1818,Family Relations (Taney Family),1,9,11.0
32,1818,Health and Illness,1,9,11.0
33,1818,Maryland Legislature,2,9,22.0
34,1818,Postal Service,1,9,11.0
35,1818,Taxing Power,1,9,11.0
36,1818,"Travel and Touring, US",1,9,11.0
37,1819,Family Relations (Taney Family),1,5,20.0
38,1819,Health and Illness,1,5,20.0
39,1819,Maryland Legislature,1,5,20.0
40,1819,Private Practice,1,5,20.0
41,1819,"Travel and Touring, US",1,5,20.0
42,1820,"Arts, Visual and Performing",1,11,9.0
43,1820,Family Relations (Taney Family),1,11,9.0
44,1820,Health and Illness,1,11,9.0
45,1820,Maryland Legislature,2,11,18.0
46,1820,Patronage,1,11,9.0
47,1820,Press,1,11,9.0
48,1820,Private Practice,1,11,9.0
49,1820,Recreation,1,11,9.0
50,1820,Religion,1,11,9.0
51,1820,"Travel and Touring, US",1,11,9.0
52,1821,Private Practice,2,2,100.0
53,1822,Family Relations (Taney Family),2,12,17.0
54,1822,Health and Illness,3,12,25.0
55,1822,Postal Service,1,12,8.0
56,1822,Private Practice,1,12,8.0
57,1822,Recreation,2,12,17.0
58,1822,Religion,1,12,8.0
59,1822,"Travel and Touring, US",2,12,17.0
60,1823,Catholicism,1,4,25.0
61,1823,Education,1,4,25.0
62,1823,Family Relations (Taney Family),1,4,25.0
63,1823,"Travel and Touring, US",1,4,25.0
64,1824,Private Practice,2,2,100.0
65,1825,Family Finances (Taney Family),1,15,7.000000000000001
66,1825,Family Relations (Taney Family),1,15,7.000000000000001
67,1825,Health and Illness,1,15,7.000000000000001
68,1825,Juries,1,15,7.000000000000001
69,1825,Maryland Judiciary,2,15,13.0
70,1825,Maryland Legislature,1,15,7.000000000000001
71,1825,Private Practice,4,15,27.0
72,1825,"Travel and Touring, US",4,15,27.0
73,1826,Maryland Judiciary,1,5,20.0
74,1826,Patronage,2,5,40.0
75,1826,Private Practice,2,5,40.0
76,1827,Democratic Party,1,17,6.0
77,1827,Education,1,17,6.0
78,1827,Family Relations (Taney Family),2,17,12.0
79,1827,Health and Illness,2,17,12.0
80,1827,Maryland Judiciary,2,17,12.0
81,1827,Maryland Legislature,1,17,6.0
82,1827,Patronage,2,17,12.0
83,1827,Postal Service,1,17,6.0
84,1827,Press,1,17,6.0
85,1827,Recreation,2,17,12.0
86,1827,"Travel and Touring, US",2,17,12.0
87,1828,Comity,1,7,14.000000000000002
88,1828,Democratic Party,1,7,14.000000000000002
89,1828,Family Relations (Taney Family),1,7,14.000000000000002
90,1828,Maryland Judiciary,2,7,28.999999999999996
91,1828,Patronage,1,7,14.000000000000002
92,1828,Private Practice,1,7,14.000000000000002
93,1829,Bank of the United States,1,6,17.0
94,1829,Family Relations (Taney Family),1,6,17.0
95,1829,Health and Illness,1,6,17.0
96,1829,Patronage,1,6,17.0
97,1829,Private Practice,1,6,17.0
98,1829,"Travel and Touring, US",1,6,17.0
99,1830,Democratic Party,1,22,5.0
100,1830,"Elections, State and Local",1,22,5.0
101,1830,Family Relations (Taney Family),1,22,5.0
102,1830,Maryland Judiciary,3,22,14.000000000000002
103,1830,Maryland Legislature,3,22,14.000000000000002
104,1830,Patronage,2,22,9.0
105,1830,Popular Will,1,22,5.0
106,1830,Postal Service,1,22,5.0
107,1830,Private Practice,4,22,18.0
108,1830,Supreme Court,2,22,9.0
109,1830,"Travel and Touring, US",3,22,14.000000000000002
110,1831,Attorney General,3,51,6.0
111,1831,Bank Veto,1,51,2.0
112,1831,Bank War,1,51,2.0
113,1831,Bank of the United States,3,51,6.0
114,1831,"Banks, Pet",2,51,4.0
115,1831,Cabinet,4,51,8.0
116,1831,Circuit Court,1,51,2.0
117,1831,Contracts,2,51,4.0
118,1831,Democratic Party,1,51,2.0
119,1831,"Elections, Presidential",1,51,2.0
120,1831,Family Finances (Taney Family),3,51,6.0
121,1831,Family Residences (Taney Family),3,51,6.0
122,1831,Health and Illness,1,51,2.0
123,1831,Maryland Judiciary,1,51,2.0
124,1831,Navy,1,51,2.0
125,1831,Patronage,6,51,12.0
126,1831,Popular Will,1,51,2.0
127,1831,Postal Service,2,51,4.0
128,1831,Press,2,51,4.0
129,1831,Privacy,3,51,6.0
130,1831,Public Lands,1,51,2.0
131,1831,Senate,1,51,2.0
132,1831,Separation of Powers,2,51,4.0
133,1831,Supreme Court,2,51,4.0
134,1831,"Travel and Touring, US",1,51,2.0
135,1831,War Department,1,51,2.0
136,1831,Whig Party,1,51,2.0
137,1832,African Americans,1,240,0.0
138,1832,Attorney General,21,240,9.0
139,1832,Bank Veto,5,240,2.0
140,1832,Bank War,9,240,4.0
141,1832,Bank of the United States,12,240,5.0
142,1832,"Banks, Pet",5,240,2.0
143,1832,Cabinet,2,240,1.0
144,1832,Circuit Court,1,240,0.0
145,1832,Congress,11,240,5.0
146,1832,Constitutional Interpretation,1,240,0.0
147,1832,Contracts,7,240,3.0
148,1832,Corporations,5,240,2.0
149,1832,Corruption,1,240,0.0
150,1832,Currency,2,240,1.0
151,1832,Delegation,2,240,1.0
152,1832,Democratic Party,2,240,1.0
153,1832,Economic Theory,2,240,1.0
154,1832,Education,1,240,0.0
155,1832,"Elections, Presidential",3,240,1.0
156,1832,"Elections, State and Local",2,240,1.0
157,1832,Family Finances (Taney Family),6,240,2.0
158,1832,Family Relations (Taney Family),1,240,0.0
159,1832,Family Residences (Taney Family),9,240,4.0
160,1832,Federal Courts,1,240,0.0
161,1832,Federalism,6,240,2.0
162,1832,Foreign Relations,4,240,2.0
163,1832,Health and Illness,4,240,2.0
164,1832,House of Representatives,1,240,0.0
165,1832,Internal Improvements,4,240,2.0
166,1832,Judicial Philosophy,3,240,1.0
167,1832,Maryland Judiciary,1,240,0.0
168,1832,Maryland Legislature,1,240,0.0
169,1832,Merchants,1,240,0.0
170,1832,Native Americans,2,240,1.0
171,1832,Navy,5,240,2.0
172,1832,Patronage,5,240,2.0
173,1832,Political Partisanship,2,240,1.0
174,1832,Popular Will,4,240,2.0
175,1832,Postal Service,4,240,2.0
176,1832,President,7,240,3.0
177,1832,Press,5,240,2.0
178,1832,Privacy,7,240,3.0
179,1832,Private Practice,1,240,0.0
180,1832,Public Health,1,240,0.0
181,1832,Public Lands,1,240,0.0
182,1832,Railroads,1,240,0.0
183,1832,Recreation,1,240,0.0
184,1832,Rule of Law,3,240,1.0
185,1832,Sectionalism,1,240,0.0
186,1832,Senate,3,240,1.0
187,1832,Separation of Powers,6,240,2.0
188,1832,Slavery and Enslaved Persons,1,240,0.0
189,1832,Statutory Interpretation,5,240,2.0
190,1832,Supreme Court,5,240,2.0
191,1832,Tariff of 1832,1,240,0.0
192,1832,Territories,3,240,1.0
193,1832,"Travel and Touring, US",11,240,5.0
194,1832,Treasury Department,4,240,2.0
195,1832,Treaties,2,240,1.0
196,1832,US Constitution,1,240,0.0
197,1832,Veterans,2,240,1.0
198,1832,Veto Power,2,240,1.0
199,1832,War Department,3,240,1.0
200,1832,War of 1812,2,240,1.0
201,1832,Whig Party,2,240,1.0
202,1833,Army,1,929,0.0
203,1833,Attorney General,32,929,3.0
204,1833,Bank Failures,9,929,1.0
205,1833,Bank Veto,4,929,0.0
206,1833,Bank War,48,929,5.0
207,1833,Bank of the United States,96,929,10.0
208,1833,"Banks, Pet",100,929,11.0
209,1833,Cabinet,15,929,2.0
210,1833,Catholicism,1,929,0.0
211,1833,Character,2,929,0.0
212,1833,Circuit Court,1,929,0.0
213,1833,Commerce,1,929,0.0
214,1833,Congress,41,929,4.0
215,1833,Contracts,2,929,0.0
216,1833,Corporations,7,929,1.0
217,1833,Corruption,3,929,0.0
218,1833,Currency,25,929,3.0
219,1833,Delegation,1,929,0.0
220,1833,Democratic Party,8,929,1.0
221,1833,Disinterestedness,2,929,0.0
222,1833,Economic Theory,20,929,2.0
223,1833,Education,1,929,0.0
224,1833,"Elections, Congressional",1,929,0.0
225,1833,"Elections, Presidential",2,929,0.0
226,1833,"Elections, State and Local",2,929,0.0
227,1833,Emancipation,1,929,0.0
228,1833,Family Finances (Taney Family),8,929,1.0
229,1833,Family Relations (Taney Family),6,929,1.0
230,1833,Family Residences (Taney Family),1,929,0.0
231,1833,Federal Courts,5,929,1.0
232,1833,Federalism,7,929,1.0
233,1833,Foreign Relations,5,929,1.0
234,1833,Health and Illness,1,929,0.0
235,1833,House of Representatives,10,929,1.0
236,1833,Internal Improvements,8,929,1.0
237,1833,Maryland Judiciary,1,929,0.0
238,1833,Merchants,5,929,1.0
239,1833,Native Americans,2,929,0.0
240,1833,Navy,4,929,0.0
241,1833,Nullification,5,929,1.0
242,1833,Patents,1,929,0.0
243,1833,Patronage,16,929,2.0
244,1833,Political Partisanship,9,929,1.0
245,1833,Political Philosophy,3,929,0.0
246,1833,Political Violence,1,929,0.0
247,1833,Popular Will,22,929,2.0
248,1833,Postal Service,5,929,1.0
249,1833,Presidency,2,929,0.0
250,1833,President,9,929,1.0
251,1833,Press,25,929,3.0
252,1833,Privacy,56,929,6.0
253,1833,Private Practice,2,929,0.0
254,1833,Public Debt,3,929,0.0
255,1833,Public Lands,6,929,1.0
256,1833,Public Memory,1,929,0.0
257,1833,Railroads,2,929,0.0
258,1833,Recreation,1,929,0.0
259,1833,Religion,1,929,0.0
260,1833,Removal of Deposits,47,929,5.0
261,1833,Rule of Law,6,929,1.0
262,1833,Science and Technology,1,929,0.0
263,1833,Sectionalism,2,929,0.0
264,1833,Senate,8,929,1.0
265,1833,Separation of Powers,6,929,1.0
266,1833,Statutory Interpretation,7,929,1.0
267,1833,Supreme Court,11,929,1.0
268,1833,Tariff of 1828,1,929,0.0
269,1833,Tariff of 1832,1,929,0.0
270,1833,Tariff of 1833,1,929,0.0
271,1833,Territories,6,929,1.0
272,1833,Transfer Drafts,33,929,4.0
273,1833,"Travel and Touring, US",4,929,0.0
274,1833,Treasury Department,117,929,13.0
275,1833,Treaties,4,929,0.0
276,1833,U.S. Constitution,1,929,0.0
277,1833,US Constitution,4,929,0.0
278,1833,Union,1,929,0.0
279,1833,Veterans,2,929,0.0
280,1833,War Department,6,929,1.0
